"UniqueID","GROUPID","block","REC","DET","ADL","MDL","DENTR","LAM","AVL","MVL","VENTR"
"CPS2-ASU-T10-ExpBlock1-278.2048","1010","ExpBlock1","2.07689033905518","2.18579234972678","2","2","2.77258872223978","16.4161849710983","2","2","4.95582705760126"
"CPS2-ASU-T10-ExpBlock1-49.9987","1010","ExpBlock1","4.76947084692864","10.4699583581202","2.02298850574713","3","5.15666132089808","25.0275633958104","2.24752475247525","3","5.98413295527437"
"CPS2-ASU-T10-ExpBlock2-367.5711","1010","ExpBlock2","0.539083557951482","2.10526315789474","2","2","1.38629436111989","0","NaN","1","0"
"CPS2-ASU-T10-ExpBlock2-57.1913","1010","ExpBlock2","3.86437792594694","9.1776798825257","2.01612903225806","3","4.81858257470771","12.1739130434783","2.19277108433735","3","5.09707083438893"
"CPS2-ASU-T10-ExpBlock2-580.5728","1010","ExpBlock2","0.766066108667896","1.48148148148148","2","2","1.38629436111989","7.69230769230769","2","2","3.43398720448515"
"CPS2-ASU-T100-ExpBlock1-49.9049","10100","ExpBlock1","2.13079869485033","2.92942743009321","2","2","3.09104245335832","11.9909502262443","2","2","4.66343909411207"
"CPS2-ASU-T100-ExpBlock2-155.1167","10100","ExpBlock2","2.82877003830331","5.31594784353059","2.03846153846154","3","3.94734105837619","10","2","2","4.72738781871233"
"CPS2-ASU-T100-ExpBlock2-19.7534","10100","ExpBlock2","6.63640232657114","10.5600684053014","2.09322033898305","4","5.45108978282901","15.5339805825243","2","2","5.95064255258774"
"CPS2-ASU-T100-ExpBlock2-419.7154","10100","ExpBlock2","2.53936728613988","2.68156424581006","2","2","3.17805383034795","9.33852140077821","2","2","4.56434819146784"
"CPS2-ASU-T100-ExpBlock2-506.7689","10100","ExpBlock2","2.83160732018726","5.21042084168337","2.08","3","3.90445928303049","13.5278514588859","2.13986013986014","3","4.95093495901829"
"CPS2-ASU-T102-ExpBlock1-110.95200000000001","10102","ExpBlock1","0.564619094907079","0","NaN","1","0","4.81927710843374","2","2","2.77258872223978"
"CPS2-ASU-T102-ExpBlock1-232.0904","10102","ExpBlock1","0.811462618811179","1.3986013986014","2","2","1.38629436111989","5.25059665871122","2","2","3.09104245335832"
"CPS2-ASU-T102-ExpBlock1-683.1666","10102","ExpBlock1","1.16896013618953","4.85436893203883","2","2","2.99573227355399","0.73394495412844","2","2","1.38629436111989"
