ParticipantBlock,pid,Analyze,GROUPID_block,GROUPID,schoolID,teamID,School,Team,Block,TeamBlock,Role,FullPath_gaze,FullPath_fixations,FullPath_partners-M,FullPath_partners-C,FullPath_PP-C,FullPath_PP-M,FullPath_225ms-time-series-RAW,225ms-time-series-RAW,FullPath_225ms-time-series-FIXATIONS,225ms-time-series-FIXATIONS
CPS2-CU-T63-PB-ExpBlock1,CPS2-CU-T63-PB,yes,2063ExpBlock1,2063,20,63,CU,T63,ExpBlock1,T63ExpBlock1,PB,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T63-PB-ExpBlock1-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T63-PB-ExpBlock1-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T63-ExpBlock1-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T63-ExpBlock1-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T63-ExpBlock1-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T63-ExpBlock1-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2063-ExpBlock1-CPS2-CU-T63-PB-225ms-RAW.csv,2063-ExpBlock1-CPS2-CU-T63-PB-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2063-ExpBlock1-CPS2-CU-T63-PB-225ms-FIXATIONS.csv,2063-ExpBlock1-CPS2-CU-T63-PB-225ms-FIXATIONS.csv
CPS2-CU-T16-PA-ExpBlock2,CPS2-CU-T16-PA,yes,2016ExpBlock2,2016,20,16,CU,T16,ExpBlock2,T16ExpBlock2,PA,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T16-PA-ExpBlock2-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T16-PA-ExpBlock2-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T16-ExpBlock2-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T16-ExpBlock2-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T16-ExpBlock2-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T16-ExpBlock2-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2016-ExpBlock2-CPS2-CU-T16-PA-225ms-RAW.csv,2016-ExpBlock2-CPS2-CU-T16-PA-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2016-ExpBlock2-CPS2-CU-T16-PA-225ms-FIXATIONS.csv,2016-ExpBlock2-CPS2-CU-T16-PA-225ms-FIXATIONS.csv
CPS2-CU-T36-PC-Transfer,CPS2-CU-T36-PC,yes,2036Transfer,2036,20,36,CU,T36,Transfer,T36Transfer,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T36-PC-Transfer-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T36-PC-Transfer-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T36-Transfer-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T36-Transfer-screen-partners-C.txt,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2036-Transfer-CPS2-CU-T36-PC-225ms-RAW.csv,2036-Transfer-CPS2-CU-T36-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2036-Transfer-CPS2-CU-T36-PC-225ms-FIXATIONS.csv,2036-Transfer-CPS2-CU-T36-PC-225ms-FIXATIONS.csv
CPS2-ASU-T67-PC-Warmup,CPS2-ASU-T67-PC,yes,1067Warmup,1067,10,67,ASU,T67,Warmup,T67Warmup,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T67-PC-Warmup-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T67-PC-Warmup-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T67-Warmup-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T67-Warmup-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T67-Warmup-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T67-Warmup-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1067-Warmup-CPS2-ASU-T67-PC-225ms-RAW.csv,1067-Warmup-CPS2-ASU-T67-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1067-Warmup-CPS2-ASU-T67-PC-225ms-FIXATIONS.csv,1067-Warmup-CPS2-ASU-T67-PC-225ms-FIXATIONS.csv
CPS2-ASU-T80-PC-ExpBlock1,CPS2-ASU-T80-PC,yes,1080ExpBlock1,1080,10,80,ASU,T80,ExpBlock1,T80ExpBlock1,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T80-PC-ExpBlock1-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T80-PC-ExpBlock1-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T80-ExpBlock1-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T80-ExpBlock1-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T80-ExpBlock1-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T80-ExpBlock1-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1080-ExpBlock1-CPS2-ASU-T80-PC-225ms-RAW.csv,1080-ExpBlock1-CPS2-ASU-T80-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1080-ExpBlock1-CPS2-ASU-T80-PC-225ms-FIXATIONS.csv,1080-ExpBlock1-CPS2-ASU-T80-PC-225ms-FIXATIONS.csv
CPS2-ASU-T86-PD-ExpBlock1,CPS2-ASU-T86-PD,yes,1086ExpBlock1,1086,10,86,ASU,T86,ExpBlock1,T86ExpBlock1,PD,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T86-PD-ExpBlock1-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T86-PD-ExpBlock1-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T86-ExpBlock1-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T86-ExpBlock1-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T86-ExpBlock1-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T86-ExpBlock1-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1086-ExpBlock1-CPS2-ASU-T86-PD-225ms-RAW.csv,1086-ExpBlock1-CPS2-ASU-T86-PD-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1086-ExpBlock1-CPS2-ASU-T86-PD-225ms-FIXATIONS.csv,1086-ExpBlock1-CPS2-ASU-T86-PD-225ms-FIXATIONS.csv
CPS2-ASU-T42-PC-ExpBlock1,CPS2-ASU-T42-PC,yes,1042ExpBlock1,1042,10,42,ASU,T42,ExpBlock1,T42ExpBlock1,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T42-PC-ExpBlock1-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T42-PC-ExpBlock1-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T42-ExpBlock1-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T42-ExpBlock1-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T42-ExpBlock1-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T42-ExpBlock1-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1042-ExpBlock1-CPS2-ASU-T42-PC-225ms-RAW.csv,1042-ExpBlock1-CPS2-ASU-T42-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1042-ExpBlock1-CPS2-ASU-T42-PC-225ms-FIXATIONS.csv,1042-ExpBlock1-CPS2-ASU-T42-PC-225ms-FIXATIONS.csv
CPS2-CU-T33-PB-Transfer,CPS2-CU-T33-PB,yes,2033Transfer,2033,20,33,CU,T33,Transfer,T33Transfer,PB,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T33-PB-Transfer-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T33-PB-Transfer-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T33-Transfer-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T33-Transfer-screen-partners-C.txt,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2033-Transfer-CPS2-CU-T33-PB-225ms-RAW.csv,2033-Transfer-CPS2-CU-T33-PB-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2033-Transfer-CPS2-CU-T33-PB-225ms-FIXATIONS.csv,2033-Transfer-CPS2-CU-T33-PB-225ms-FIXATIONS.csv
CPS2-ASU-T60-PD-ExpBlock2,CPS2-ASU-T60-PD,yes,1060ExpBlock2,1060,10,60,ASU,T60,ExpBlock2,T60ExpBlock2,PD,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T60-PD-ExpBlock2-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T60-PD-ExpBlock2-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T60-ExpBlock2-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T60-ExpBlock2-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T60-ExpBlock2-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T60-ExpBlock2-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1060-ExpBlock2-CPS2-ASU-T60-PD-225ms-RAW.csv,1060-ExpBlock2-CPS2-ASU-T60-PD-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1060-ExpBlock2-CPS2-ASU-T60-PD-225ms-FIXATIONS.csv,1060-ExpBlock2-CPS2-ASU-T60-PD-225ms-FIXATIONS.csv
CPS2-ASU-T44-PA-Warmup,CPS2-ASU-T44-PA,yes,1044Warmup,1044,10,44,ASU,T44,Warmup,T44Warmup,PA,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T44-PA-Warmup-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T44-PA-Warmup-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T44-Warmup-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T44-Warmup-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T44-Warmup-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T44-Warmup-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1044-Warmup-CPS2-ASU-T44-PA-225ms-RAW.csv,1044-Warmup-CPS2-ASU-T44-PA-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1044-Warmup-CPS2-ASU-T44-PA-225ms-FIXATIONS.csv,1044-Warmup-CPS2-ASU-T44-PA-225ms-FIXATIONS.csv
