UniqueID,school,team,block,level,relative_start_time,relative_end_time,60_sec_start_time,60_sec_end_time,level_duration,gold_trophy,silver_trophy,won,GROUPID
CPS2-ASU-T100-ExpBlock1-49.9049,ASU,CPS2-ASU-T100,ExpBlock1,Top spin,49.9049,899.979,840,899,850.0741,0,0,0,10100
CPS2-ASU-T100-ExpBlock2-155.1167,ASU,CPS2-ASU-T100,ExpBlock2,Timing is Everything,155.1167,413.1691,344,403,258.0524,0,1,1,10100
CPS2-ASU-T100-ExpBlock2-19.7534,ASU,CPS2-ASU-T100,ExpBlock2,Scale,19.7534,144.8036,75,134,125.0502,0,1,1,10100
CPS2-ASU-T100-ExpBlock2-419.7154,ASU,CPS2-ASU-T100,ExpBlock2,Green Apple,419.7154,496.1897,427,486,76.4743,0,1,1,10100
CPS2-ASU-T100-ExpBlock2-506.7689,ASU,CPS2-ASU-T100,ExpBlock2,Fe2,506.7689,900.046,840,899,393.2771,0,0,0,10100
CPS2-ASU-T102-ExpBlock1-110.95200000000001,ASU,CPS2-ASU-T102,ExpBlock1,Timing is Everything,110.952,196.4713,127,186,85.5193,1,0,1,10102
CPS2-ASU-T102-ExpBlock1-232.0904,ASU,CPS2-ASU-T102,ExpBlock1,Fe2,232.0904,555.7184,486,545,323.628,0,0,0,10102
CPS2-ASU-T102-ExpBlock1-683.1666,ASU,CPS2-ASU-T102,ExpBlock1,Fe2,683.1666,900.031,840,899,216.8644,0,0,0,10102
CPS2-ASU-T102-ExpBlock2-191.4144,ASU,CPS2-ASU-T102,ExpBlock2,Fe2,191.4144,279.9308,210,269,88.5164,1,0,1,10102
CPS2-ASU-T102-ExpBlock2-332.168,ASU,CPS2-ASU-T102,ExpBlock2,Smiley Mouth,332.168,407.3617,338,397,75.1937,0,1,1,10102
CPS2-ASU-T102-ExpBlock2-411.0479,ASU,CPS2-ASU-T102,ExpBlock2,Smiley Mouth,411.0479,900.008,840,899,488.9601,0,0,0,10102
CPS2-ASU-T102-ExpBlock2-72.222,ASU,CPS2-ASU-T102,ExpBlock2,Timing is Everything,72.222,184.2138,115,174,111.9918,1,0,1,10102
CPS2-ASU-T102-Warmup-284.0201,ASU,CPS2-ASU-T102,Warmup,Yippie!,284.0201,361.2727,292,351,77.2526,0,1,1,10102
CPS2-ASU-T102-Warmup-366.5469,ASU,CPS2-ASU-T102,Warmup,Spider Web,366.5469,506.751,437,496,140.2041,0,1,1,10102
CPS2-ASU-T102-Warmup-511.384,ASU,CPS2-ASU-T102,Warmup,Double Hoppy,511.384,781.7263,712,771,270.3423,0,0,0,10102
CPS2-ASU-T102-Warmup-6.9431,ASU,CPS2-ASU-T102,Warmup,Can Opener,6.9431,278.3849,209,268,271.4418,0,1,1,10102
