UniqueID,school,team,controller,observer1,observer2,block,level,relative_start_time,relative_end_time,60_sec_start_time,60_sec_end_time,level_duration,gold_trophy,silver_trophy,won,face_area,motion,positive_valence,negative_valence,expressiveness,Analytic,Clout,Authentic,Tone,gaze_raw_binary_validity,gaze_raw_dispersion,gaze_fixation_count,gaze_fixation_mean_duration,gaze_saccade_mean_amplitude,gaze_mean_partners_distance,PP_motion,Loudness_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,F1frequency_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz,verbosity,interturn_duration,overlap_fraction,duration_on_level,visit_num,pred_won
CPS2-ASU-T100-ExpBlock1-49.9049,ASU,CPS2-ASU-T100,CPS2-ASU-T100-PD,CPS2-ASU-T100-PA,CPS2-ASU-T100-PC,ExpBlock1,Top spin,49.9049,899.979,840,899,850.0741,0,0,0,0.202417891,-0.145719359,0.08566033,0.775020255,0.534930677,14.59472222,16.07222222,6.935111111,8.378388889,0.49099837,98.99227681,2.82038987,342.6003403,120.4546624,240.4161659,0.004516648,0.421911073,0.446539168,0.353537454,0.474436863,0.297881459,-0.118467973,0.42532908,-0.061218783,0.427435352,0.017354998,0.427020207,121,2.413333333,0.36,791,0,0.442992602
CPS2-ASU-T100-ExpBlock2-155.1167,ASU,CPS2-ASU-T100,CPS2-ASU-T100-PC,CPS2-ASU-T100-PA,CPS2-ASU-T100-PD,ExpBlock2,Timing is Everything,155.1167,413.1691,344,403,258.0524,0,1,1,-0.277943661,-0.054161111,-0.222134489,-0.756247847,0.344155519,22.3815,21.67577778,22.26961111,17.85283333,0.5634,101.8705974,3.030637233,299.1142599,121.7722698,364.8433053,0.004990557,0.438960275,0.680112698,0.523685874,0.719406453,0.541538132,-0.416954292,0.714573285,-0.40402541,0.720281665,-0.438107905,0.710354349,228,0.625555556,0.486486486,189,0,0.548777539
CPS2-ASU-T100-ExpBlock2-19.7534,ASU,CPS2-ASU-T100,CPS2-ASU-T100-PC,CPS2-ASU-T100-PA,CPS2-ASU-T100-PD,ExpBlock2,Scale,19.7534,144.8036,75,134,125.0502,0,1,1,0.111352025,-0.334286878,-0.196947943,-0.307674848,-0.277844414,23.88783333,20.27222222,13.75155556,11.5105,0.651372222,107.7141194,2.77086137,328.3766309,134.3348498,364.8433053,0.001556535,0.330883094,0.66763661,0.340238649,0.717513833,0.438726742,-0.661661022,0.781479041,-0.622471577,0.771659615,-0.585340017,0.770308646,208,1.859090909,0.571428571,56,0,0.497621546
CPS2-ASU-T100-ExpBlock2-419.7154,ASU,CPS2-ASU-T100,CPS2-ASU-T100-PC,CPS2-ASU-T100-PA,CPS2-ASU-T100-PD,ExpBlock2,Green Apple,419.7154,496.1897,427,486,76.4743,0,1,1,0.253344886,0.038359797,0.370383237,-0.503866345,-0.397217607,19.99072222,22.82394444,20.34127778,16.12211111,0.375666667,128.2565112,2.930977856,324.7313537,147.0875417,364.8433053,0.007145821,0.425881144,0.533813772,0.281663026,0.443952916,0.607521624,-0.284147854,0.559689371,-0.248633916,0.552505753,-0.210167437,0.54385025,232,1.2255,0.447368421,8,0,0.688513489
CPS2-ASU-T100-ExpBlock2-506.7689,ASU,CPS2-ASU-T100,CPS2-ASU-T100-PC,CPS2-ASU-T100-PA,CPS2-ASU-T100-PD,ExpBlock2,Fe2,506.7689,900.046,840,899,393.2771,0,0,0,-0.3024025,-0.389875155,0.044802824,-0.255897777,-0.089997429,25.67611111,20.13455556,25.00222222,15.29177778,0.644003137,89.68574883,2.958893074,303.2334374,111.6402196,360.4489056,0.002745417,0.627398206,0.655961052,0.582478215,0.780185371,0.303484661,-0.236648569,0.669480942,-0.247946999,0.684771291,-0.230420964,0.689969718,229,1.051,0.461538462,334,0,0.64388869
CPS2-ASU-T100-Warmup-10.5959,ASU,CPS2-ASU-T100,CPS2-ASU-T100-PA,CPS2-ASU-T100-PD,CPS2-ASU-T100-PC,Warmup,Can Opener,10.5959,649.6966,580,639,639.1007,0,1,1,0.021807839,-0.211543663,-0.545377744,0.495692928,0.3829388,21.28308333,22.10166667,20.40441667,18.56633333,0.591261111,71.88425297,2.691456885,373.237938,94.85620075,213.0523708,0.004594698,0.716284848,0.655787588,0.577347244,0.715562574,0.490657947,-0.375317302,0.688811335,-0.384397338,0.693151754,-0.394928033,0.691359775,184,0,0,570,0,0.561072203
CPS2-ASU-T100-Warmup-657.3256,ASU,CPS2-ASU-T100,CPS2-ASU-T100-PA,CPS2-ASU-T100-PD,CPS2-ASU-T100-PC,Warmup,Can Opener,657.3256,800.9609,731,790,143.6353,0,0,0,0.149754762,0.079778497,0.129639656,-0.050958472,-0.046063197,26.25025,37.75741667,25.7145,17.34341667,0.600888889,111.6949847,2.731414458,329.4214433,144.2548336,228.4140572,0.015412568,1.458403272,1.121631671,1.009312916,0.85955323,1.018052507,-0.391322698,0.995013787,-0.281376011,1.000139446,-0.263081084,1.014454726,211,0,0,74,1,0.378435902
CPS2-ASU-T100-Warmup-800.9609,ASU,CPS2-ASU-T100,CPS2-ASU-T100-PA,CPS2-ASU-T100-PD,CPS2-ASU-T100-PC,Warmup,Yippie!,800.9609,900.024,840,899,99.0631,0,0,0,0.56610246,0.406152251,-0.122967894,0.03156208,-0.111818301,23.845,23.79316667,18.49475,16.95866667,0.554136252,112.9791351,2.70105757,345.1084009,151.610535,230.2863688,0.003259185,0.421879173,0.426953932,0.398586281,0.409634226,0.217951069,-0.071583206,0.410593023,-0.017034425,0.420268984,0.009607425,0.415872155,174,0,0,40,0,0.483884086
CPS2-ASU-T102-ExpBlock1-110.95200000000001,ASU,CPS2-ASU-T102,CPS2-ASU-T102-PB,CPS2-ASU-T102-PD,CPS2-ASU-T102-PC,ExpBlock1,Timing is Everything,110.952,196.4713,127,186,85.5193,1,0,1,0.579681973,-0.128721648,-0.003549221,-0.579755895,-0.209655966,20.19122222,16.67777778,15.70666667,11.17972222,0.68505,119.4531964,3.10724805,308.4789348,164.0046244,325.0908116,0.012459353,0.908786022,0.960705682,0.4255895,0.785814552,1.118157102,-0.298525896,1.006371158,-0.180960024,1.00583623,-0.113688077,1.020420801,166,1.514166667,0.409090909,17,0,0.49482629
CPS2-ASU-T102-ExpBlock1-232.0904,ASU,CPS2-ASU-T102,CPS2-ASU-T102-PB,CPS2-ASU-T102-PD,CPS2-ASU-T102-PC,ExpBlock1,Fe2,232.0904,555.7184,486,545,323.628,0,0,0,-0.252488121,-0.050519434,-0.138932588,0.288021554,-0.116286889,25.32738889,18.32577778,18.36022222,12.18144444,0.619705556,119.2125977,3.001174157,301.4863798,145.3382236,325.1202709,0.008861241,0.655420434,0.527704676,0.699396305,0.572846307,0.34355772,0.271518932,0.530117425,0.410571265,0.533526261,0.393500361,0.533719414,169,1.321578947,0.375,254,0,0.549928654
